Date,Price
29-10-2018,66.970001
30-10-2018,65.980003
31-10-2018,67.463997
01-11-2018,68.856003
02-11-2018,69.281998
05-11-2018,68.279999
06-11-2018,68.211998
07-11-2018,69.632004
08-11-2018,70.279999
09-11-2018,70.101997
12-11-2018,66.255997
13-11-2018,67.746002
14-11-2018,68.800003
15-11-2018,69.688004
16-11-2018,70.862
19-11-2018,70.694
20-11-2018,69.498001
21-11-2018,67.638
23-11-2018,65.166
26-11-2018,69.199997
27-11-2018,68.783997
28-11-2018,69.573997
29-11-2018,68.234001
30-11-2018,70.096001
03-12-2018,71.697998
04-12-2018,71.940002
06-12-2018,72.612
07-12-2018,71.594002
10-12-2018,73.029999
11-12-2018,73.351997
12-12-2018,73.32
13-12-2018,75.358002
14-12-2018,73.141998
17-12-2018,69.683998
18-12-2018,67.405998
19-12-2018,66.594002
20-12-2018,63.076
21-12-2018,63.953999
24-12-2018,59.077999
26-12-2018,65.218002
27-12-2018,63.226002
28-12-2018,66.774002
31-12-2018,66.559998
02-01-2019,62.023998
03-01-2019,60.071999
04-01-2019,63.537998
07-01-2019,66.991997
08-01-2019,67.07
09-01-2019,67.706001
10-01-2019,68.994003
11-01-2019,69.452003
14-01-2019,66.879997
15-01-2019,68.886002
16-01-2019,69.209999
17-01-2019,69.461998
18-01-2019,60.452
22-01-2019,59.784
23-01-2019,57.518002
24-01-2019,58.301998
25-01-2019,59.408001
28-01-2019,59.276001
29-01-2019,59.492001
30-01-2019,61.754002
31-01-2019,61.403999
01-02-2019,62.442001
04-02-2019,62.577999
05-02-2019,64.269997
06-02-2019,63.444
07-02-2019,61.501999
08-02-2019,61.16
11-02-2019,62.568001
12-02-2019,62.362
13-02-2019,61.633999
14-02-2019,60.754002
15-02-2019,61.576
19-02-2019,61.127998
20-02-2019,60.512001
21-02-2019,58.245998
22-02-2019,58.942001
25-02-2019,59.754002
26-02-2019,59.571999
27-02-2019,62.948002
28-02-2019,63.976002
01-03-2019,58.958
04-03-2019,57.071999
05-03-2019,55.307999
06-03-2019,55.248001
07-03-2019,55.318001
08-03-2019,56.827999
11-03-2019,58.183998
12-03-2019,56.672001
13-03-2019,57.792
14-03-2019,57.992001
15-03-2019,55.085999
18-03-2019,53.897999
19-03-2019,53.493999
20-03-2019,54.720001
21-03-2019,54.804001
22-03-2019,52.905998
25-03-2019,52.084
26-03-2019,53.554001
27-03-2019,54.966
28-03-2019,55.723999
29-03-2019,55.972
01-04-2019,57.835999
02-04-2019,57.175999
03-04-2019,58.362
04-04-2019,53.556
05-04-2019,54.992001
08-04-2019,54.639999
09-04-2019,54.462002
10-04-2019,55.212002
11-04-2019,53.683998
12-04-2019,53.540001
15-04-2019,53.276001
16-04-2019,54.672001
17-04-2019,54.245998
18-04-2019,54.652
22-04-2019,52.549999
23-04-2019,52.779999
24-04-2019,51.731998
25-04-2019,49.526001
26-04-2019,47.028
29-04-2019,48.293999
30-04-2019,47.737999
01-05-2019,46.801998
02-05-2019,48.82
03-05-2019,51.006001
06-05-2019,51.068001
07-05-2019,49.411999
08-05-2019,48.967999
09-05-2019,48.396
